,Actif_1,Actif_2,Actif_3,Actif_4,Actif_5
0,0,0,0,0,100
1,0,0,0,4,96
2,0,0,0,8,92
3,0,0,0,12,88
4,0,0,0,16,84
5,0,0,0,20,80
6,0,0,0,24,76
7,0,0,0,28,72
8,0,0,0,32,68
9,0,0,0,36,64
10,0,0,0,40,60
11,0,0,0,44,56
12,0,0,0,48,52
13,0,0,0,52,48
14,0,0,0,56,44
15,0,0,0,60,40
16,0,0,0,64,36
17,0,0,0,68,32
18,0,0,0,72,28
19,0,0,0,76,24
20,0,0,0,80,20
21,0,0,0,84,16
22,0,0,0,88,12
23,0,0,0,92,8
24,0,0,0,96,4
25,0,0,0,100,0
26,0,0,4,0,96
27,0,0,4,4,92
28,0,0,4,8,88
29,0,0,4,12,84
30,0,0,4,16,80
31,0,0,4,20,76
32,0,0,4,24,72
33,0,0,4,28,68
34,0,0,4,32,64
35,0,0,4,36,60
36,0,0,4,40,56
37,0,0,4,44,52
38,0,0,4,48,48
39,0,0,4,52,44
40,0,0,4,56,40
41,0,0,4,60,36
42,0,0,4,64,32
43,0,0,4,68,28
44,0,0,4,72,24
45,0,0,4,76,20
46,0,0,4,80,16
47,0,0,4,84,12
48,0,0,4,88,8
49,0,0,4,92,4
50,0,0,4,96,0
51,0,0,8,0,92
52,0,0,8,4,88
53,0,0,8,8,84
54,0,0,8,12,80
55,0,0,8,16,76
56,0,0,8,20,72
57,0,0,8,24,68
58,0,0,8,28,64
59,0,0,8,32,60
60,0,0,8,36,56
61,0,0,8,40,52
62,0,0,8,44,48
63,0,0,8,48,44
64,0,0,8,52,40
65,0,0,8,56,36
66,0,0,8,60,32
67,0,0,8,64,28
68,0,0,8,68,24
69,0,0,8,72,20
70,0,0,8,76,16
71,0,0,8,80,12
72,0,0,8,84,8
73,0,0,8,88,4
74,0,0,8,92,0
75,0,0,12,0,88
76,0,0,12,4,84
77,0,0,12,8,80
78,0,0,12,12,76
79,0,0,12,16,72
80,0,0,12,20,68
81,0,0,12,24,64
82,0,0,12,28,60
83,0,0,12,32,56
84,0,0,12,36,52
85,0,0,12,40,48
86,0,0,12,44,44
87,0,0,12,48,40
88,0,0,12,52,36
89,0,0,12,56,32
90,0,0,12,60,28
91,0,0,12,64,24
92,0,0,12,68,20
93,0,0,12,72,16
94,0,0,12,76,12
95,0,0,12,80,8
96,0,0,12,84,4
97,0,0,12,88,0
98,0,0,16,0,84
99,0,0,16,4,80
100,0,0,16,8,76
101,0,0,16,12,72
102,0,0,16,16,68
103,0,0,16,20,64
104,0,0,16,24,60
105,0,0,16,28,56
106,0,0,16,32,52
107,0,0,16,36,48
108,0,0,16,40,44
109,0,0,16,44,40
110,0,0,16,48,36
111,0,0,16,52,32
112,0,0,16,56,28
113,0,0,16,60,24
114,0,0,16,64,20
115,0,0,16,68,16
116,0,0,16,72,12
117,0,0,16,76,8
118,0,0,16,80,4
119,0,0,16,84,0
120,0,0,20,0,80
121,0,0,20,4,76
122,0,0,20,8,72
123,0,0,20,12,68
124,0,0,20,16,64
125,0,0,20,20,60
126,0,0,20,24,56
127,0,0,20,28,52
128,0,0,20,32,48
129,0,0,20,36,44
130,0,0,20,40,40
131,0,0,20,44,36
132,0,0,20,48,32
133,0,0,20,52,28
134,0,0,20,56,24
135,0,0,20,60,20
136,0,0,20,64,16
137,0,0,20,68,12
138,0,0,20,72,8
139,0,0,20,76,4
140,0,0,20,80,0
141,0,0,24,0,76
142,0,0,24,4,72
143,0,0,24,8,68
144,0,0,24,12,64
145,0,0,24,16,60
146,0,0,24,20,56
147,0,0,24,24,52
148,0,0,24,28,48
149,0,0,24,32,44
150,0,0,24,36,40
151,0,0,24,40,36
152,0,0,24,44,32
153,0,0,24,48,28
154,0,0,24,52,24
155,0,0,24,56,20
156,0,0,24,60,16
157,0,0,24,64,12
158,0,0,24,68,8
159,0,0,24,72,4
160,0,0,24,76,0
161,0,0,28,0,72
162,0,0,28,4,68
163,0,0,28,8,64
164,0,0,28,12,60
165,0,0,28,16,56
166,0,0,28,20,52
167,0,0,28,24,48
168,0,0,28,28,44
169,0,0,28,32,40
170,0,0,28,36,36
171,0,0,28,40,32
172,0,0,28,44,28
173,0,0,28,48,24
174,0,0,28,52,20
175,0,0,28,56,16
176,0,0,28,60,12
177,0,0,28,64,8
178,0,0,28,68,4
179,0,0,28,72,0
180,0,0,32,0,68
181,0,0,32,4,64
182,0,0,32,8,60
183,0,0,32,12,56
184,0,0,32,16,52
185,0,0,32,20,48
186,0,0,32,24,44
187,0,0,32,28,40
188,0,0,32,32,36
189,0,0,32,36,32
190,0,0,32,40,28
191,0,0,32,44,24
192,0,0,32,48,20
193,0,0,32,52,16
194,0,0,32,56,12
195,0,0,32,60,8
196,0,0,32,64,4
197,0,0,32,68,0
198,0,0,36,0,64
199,0,0,36,4,60
200,0,0,36,8,56
201,0,0,36,12,52
202,0,0,36,16,48
203,0,0,36,20,44
204,0,0,36,24,40
205,0,0,36,28,36
206,0,0,36,32,32
207,0,0,36,36,28
208,0,0,36,40,24
209,0,0,36,44,20
210,0,0,36,48,16
211,0,0,36,52,12
212,0,0,36,56,8
213,0,0,36,60,4
214,0,0,36,64,0
215,0,0,40,0,60
216,0,0,40,4,56
217,0,0,40,8,52
218,0,0,40,12,48
219,0,0,40,16,44
220,0,0,40,20,40
221,0,0,40,24,36
222,0,0,40,28,32
223,0,0,40,32,28
224,0,0,40,36,24
225,0,0,40,40,20
226,0,0,40,44,16
227,0,0,40,48,12
228,0,0,40,52,8
229,0,0,40,56,4
230,0,0,40,60,0
231,0,0,44,0,56
232,0,0,44,4,52
233,0,0,44,8,48
234,0,0,44,12,44
235,0,0,44,16,40
236,0,0,44,20,36
237,0,0,44,24,32
238,0,0,44,28,28
239,0,0,44,32,24
240,0,0,44,36,20
241,0,0,44,40,16
242,0,0,44,44,12
243,0,0,44,48,8
244,0,0,44,52,4
245,0,0,44,56,0
246,0,0,48,0,52
247,0,0,48,4,48
248,0,0,48,8,44
249,0,0,48,12,40
250,0,0,48,16,36
251,0,0,48,20,32
252,0,0,48,24,28
253,0,0,48,28,24
254,0,0,48,32,20
255,0,0,48,36,16
256,0,0,48,40,12
257,0,0,48,44,8
258,0,0,48,48,4
259,0,0,48,52,0
260,0,0,52,0,48
261,0,0,52,4,44
262,0,0,52,8,40
263,0,0,52,12,36
264,0,0,52,16,32
265,0,0,52,20,28
266,0,0,52,24,24
267,0,0,52,28,20
268,0,0,52,32,16
269,0,0,52,36,12
270,0,0,52,40,8
271,0,0,52,44,4
272,0,0,52,48,0
273,0,0,56,0,44
274,0,0,56,4,40
275,0,0,56,8,36
276,0,0,56,12,32
277,0,0,56,16,28
278,0,0,56,20,24
279,0,0,56,24,20
280,0,0,56,28,16
281,0,0,56,32,12
282,0,0,56,36,8
283,0,0,56,40,4
284,0,0,56,44,0
285,0,0,60,0,40
286,0,0,60,4,36
287,0,0,60,8,32
288,0,0,60,12,28
289,0,0,60,16,24
290,0,0,60,20,20
291,0,0,60,24,16
292,0,0,60,28,12
293,0,0,60,32,8
294,0,0,60,36,4
295,0,0,60,40,0
296,0,0,64,0,36
297,0,0,64,4,32
298,0,0,64,8,28
299,0,0,64,12,24
300,0,0,64,16,20
301,0,0,64,20,16
302,0,0,64,24,12
303,0,0,64,28,8
304,0,0,64,32,4
305,0,0,64,36,0
306,0,0,68,0,32
307,0,0,68,4,28
308,0,0,68,8,24
309,0,0,68,12,20
310,0,0,68,16,16
311,0,0,68,20,12
312,0,0,68,24,8
313,0,0,68,28,4
314,0,0,68,32,0
315,0,0,72,0,28
316,0,0,72,4,24
317,0,0,72,8,20
318,0,0,72,12,16
319,0,0,72,16,12
320,0,0,72,20,8
321,0,0,72,24,4
322,0,0,72,28,0
323,0,0,76,0,24
324,0,0,76,4,20
325,0,0,76,8,16
326,0,0,76,12,12
327,0,0,76,16,8
328,0,0,76,20,4
329,0,0,76,24,0
330,0,0,80,0,20
331,0,0,80,4,16
332,0,0,80,8,12
333,0,0,80,12,8
334,0,0,80,16,4
335,0,0,80,20,0
336,0,0,84,0,16
337,0,0,84,4,12
338,0,0,84,8,8
339,0,0,84,12,4
340,0,0,84,16,0
341,0,0,88,0,12
342,0,0,88,4,8
343,0,0,88,8,4
344,0,0,88,12,0
345,0,0,92,0,8
346,0,0,92,4,4
