0,1,2,3,4
0,0,0,0,100
0,0,0,4,96
0,0,0,8,92
0,0,0,12,88
0,0,0,16,84
0,0,0,20,80
0,0,0,24,76
0,0,0,28,72
0,0,0,32,68
0,0,0,36,64
0,0,0,40,60
0,0,0,44,56
0,0,0,48,52
0,0,0,52,48
0,0,0,56,44
0,0,0,60,40
0,0,0,64,36
0,0,0,68,32
0,0,0,72,28
0,0,0,76,24
0,0,0,80,20
0,0,0,84,16
0,0,0,88,12
0,0,0,92,8
0,0,0,96,4
0,0,0,100,0
0,0,4,0,96
0,0,4,4,92
0,0,4,8,88
0,0,4,12,84
0,0,4,16,80
0,0,4,20,76
0,0,4,24,72
0,0,4,28,68
0,0,4,32,64
0,0,4,36,60
0,0,4,40,56
0,0,4,44,52
0,0,4,48,48
0,0,4,52,44
0,0,4,56,40
0,0,4,60,36
0,0,4,64,32
0,0,4,68,28
0,0,4,72,24
0,0,4,76,20
0,0,4,80,16
0,0,4,84,12
0,0,4,88,8
0,0,4,92,4
0,0,4,96,0
0,0,8,0,92
0,0,8,4,88
0,0,8,8,84
0,0,8,12,80
0,0,8,16,76
0,0,8,20,72
0,0,8,24,68
0,0,8,28,64
0,0,8,32,60
0,0,8,36,56
0,0,8,40,52
0,0,8,44,48
0,0,8,48,44
0,0,8,52,40
0,0,8,56,36
0,0,8,60,32
0,0,8,64,28
0,0,8,68,24
0,0,8,72,20
0,0,8,76,16
0,0,8,80,12
0,0,8,84,8
0,0,8,88,4
0,0,8,92,0
0,0,12,0,88
0,0,12,4,84
0,0,12,8,80
0,0,12,12,76
0,0,12,16,72
0,0,12,20,68
0,0,12,24,64
0,0,12,28,60
0,0,12,32,56
0,0,12,36,52
0,0,12,40,48
0,0,12,44,44
0,0,12,48,40
0,0,12,52,36
0,0,12,56,32
0,0,12,60,28
0,0,12,64,24
0,0,12,68,20
0,0,12,72,16
0,0,12,76,12
0,0,12,80,8
0,0,12,84,4
0,0,12,88,0
0,0,16,0,84
0,0,16,4,80
0,0,16,8,76
0,0,16,12,72
0,0,16,16,68
0,0,16,20,64
0,0,16,24,60
0,0,16,28,56
0,0,16,32,52
0,0,16,36,48
0,0,16,40,44
0,0,16,44,40
0,0,16,48,36
0,0,16,52,32
0,0,16,56,28
0,0,16,60,24
0,0,16,64,20
0,0,16,68,16
0,0,16,72,12
0,0,16,76,8
0,0,16,80,4
0,0,16,84,0
0,0,20,0,80
0,0,20,4,76
0,0,20,8,72
0,0,20,12,68
0,0,20,16,64
0,0,20,20,60
0,0,20,24,56
0,0,20,28,52
0,0,20,32,48
0,0,20,36,44
0,0,20,40,40
0,0,20,44,36
0,0,20,48,32
0,0,20,52,28
0,0,20,56,24
0,0,20,60,20
0,0,20,64,16
0,0,20,68,12
0,0,20,72,8
0,0,20,76,4
0,0,20,80,0
0,0,24,0,76
0,0,24,4,72
0,0,24,8,68
0,0,24,12,64
0,0,24,16,60
0,0,24,20,56
0,0,24,24,52
0,0,24,28,48
0,0,24,32,44
0,0,24,36,40
0,0,24,40,36
0,0,24,44,32
0,0,24,48,28
0,0,24,52,24
0,0,24,56,20
0,0,24,60,16
0,0,24,64,12
0,0,24,68,8
0,0,24,72,4
0,0,24,76,0
0,0,28,0,72
0,0,28,4,68
0,0,28,8,64
0,0,28,12,60
0,0,28,16,56
0,0,28,20,52
0,0,28,24,48
0,0,28,28,44
0,0,28,32,40
0,0,28,36,36
0,0,28,40,32
0,0,28,44,28
0,0,28,48,24
0,0,28,52,20
0,0,28,56,16
0,0,28,60,12
0,0,28,64,8
0,0,28,68,4
0,0,28,72,0
0,0,32,0,68
0,0,32,4,64
0,0,32,8,60
0,0,32,12,56
0,0,32,16,52
0,0,32,20,48
0,0,32,24,44
0,0,32,28,40
0,0,32,32,36
0,0,32,36,32
0,0,32,40,28
0,0,32,44,24
0,0,32,48,20
0,0,32,52,16
0,0,32,56,12
0,0,32,60,8
0,0,32,64,4
0,0,32,68,0
0,0,36,0,64
0,0,36,4,60
0,0,36,8,56
0,0,36,12,52
0,0,36,16,48
0,0,36,20,44
0,0,36,24,40
0,0,36,28,36
0,0,36,32,32
0,0,36,36,28
0,0,36,40,24
0,0,36,44,20
0,0,36,48,16
0,0,36,52,12
0,0,36,56,8
0,0,36,60,4
0,0,36,64,0
0,0,40,0,60
0,0,40,4,56
0,0,40,8,52
0,0,40,12,48
0,0,40,16,44
0,0,40,20,40
0,0,40,24,36
0,0,40,28,32
0,0,40,32,28
0,0,40,36,24
0,0,40,40,20
0,0,40,44,16
0,0,40,48,12
0,0,40,52,8
0,0,40,56,4
0,0,40,60,0
0,0,44,0,56
0,0,44,4,52
0,0,44,8,48
0,0,44,12,44
0,0,44,16,40
0,0,44,20,36
0,0,44,24,32
0,0,44,28,28
0,0,44,32,24
0,0,44,36,20
0,0,44,40,16
0,0,44,44,12
0,0,44,48,8
0,0,44,52,4
0,0,44,56,0
0,0,48,0,52
0,0,48,4,48
0,0,48,8,44
0,0,48,12,40
0,0,48,16,36
0,0,48,20,32
0,0,48,24,28
0,0,48,28,24
0,0,48,32,20
0,0,48,36,16
0,0,48,40,12
0,0,48,44,8
0,0,48,48,4
0,0,48,52,0
0,0,52,0,48
0,0,52,4,44
0,0,52,8,40
0,0,52,12,36
0,0,52,16,32
0,0,52,20,28
0,0,52,24,24
0,0,52,28,20
0,0,52,32,16
0,0,52,36,12
0,0,52,40,8
0,0,52,44,4
0,0,52,48,0
0,0,56,0,44
0,0,56,4,40
0,0,56,8,36
0,0,56,12,32
0,0,56,16,28
0,0,56,20,24
0,0,56,24,20
0,0,56,28,16
0,0,56,32,12
0,0,56,36,8
0,0,56,40,4
0,0,56,44,0
0,0,60,0,40
0,0,60,4,36
0,0,60,8,32
0,0,60,12,28
0,0,60,16,24
0,0,60,20,20
0,0,60,24,16
0,0,60,28,12
0,0,60,32,8
0,0,60,36,4
0,0,60,40,0
0,0,64,0,36
0,0,64,4,32
0,0,64,8,28
0,0,64,12,24
0,0,64,16,20
0,0,64,20,16
0,0,64,24,12
0,0,64,28,8
0,0,64,32,4
0,0,64,36,0
0,0,68,0,32
0,0,68,4,28
0,0,68,8,24
0,0,68,12,20
0,0,68,16,16
0,0,68,20,12
0,0,68,24,8
0,0,68,28,4
0,0,68,32,0
0,0,72,0,28
0,0,72,4,24
0,0,72,8,20
0,0,72,12,16
0,0,72,16,12
0,0,72,20,8
0,0,72,24,4
0,0,72,28,0
0,0,76,0,24
0,0,76,4,20
0,0,76,8,16
0,0,76,12,12
0,0,76,16,8
0,0,76,20,4
0,0,76,24,0
0,0,80,0,20
0,0,80,4,16
0,0,80,8,12
0,0,80,12,8
0,0,80,16,4
0,0,80,20,0
0,0,84,0,16
0,0,84,4,12
0,0,84,8,8
0,0,84,12,4
0,0,84,16,0
0,0,88,0,12
0,0,88,4,8
0,0,88,8,4
0,0,88,12,0
0,0,92,0,8
0,0,92,4,4
0,0,92,8,0
0,0,96,0,4
0,0,96,4,0
0,0,100,0,0
0,4,0,0,96
0,4,0,4,92
0,4,0,8,88
0,4,0,12,84
0,4,0,16,80
0,4,0,20,76
0,4,0,24,72
0,4,0,28,68
0,4,0,32,64
0,4,0,36,60
0,4,0,40,56
0,4,0,44,52
0,4,0,48,48
0,4,0,52,44
0,4,0,56,40
0,4,0,60,36
0,4,0,64,32
0,4,0,68,28
0,4,0,72,24
0,4,0,76,20
0,4,0,80,16
0,4,0,84,12
0,4,0,88,8
0,4,0,92,4
0,4,0,96,0
0,4,4,0,92
